article_id,title,author_name,author_ids,journal,publisher,abstract,source_ori,pdf_ori,pdf_garuda,doi
1222324,IZIN PENYELENGGARAAN PENYIARAN LEMBAGA PENYIARAN SWASTA (Studi Efektifitas Pasal 8 Ayat (1) Peraturan Pemerintah Nomor 50 Tahun 2005 Tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta Di Komisi Penyiaran Indonesia Daerah Jawa Timur),Mohamad Yudharistyawan Widodo,2720680,"Kumpulan Jurnal Mahasiswa Fakultas Hukum Sarjana Ilmu Hukum, Agustus 2017",Kumpulan Jurnal Mahasiswa Fakultas Hukum,"Mohamad Yudharistyawan Widodo, Herlin Wijayati, SH. M.H, Dr.Shinta Hadiyantina, SH. M.H. Fakultas Hukum, Universitas Brawijaya yudharistyawan@gmail.com ABSTRAK Penelitian ini bertujuan untuk mengetahui bagaimana efektifitas pasal 8 ayat (1) Peraturan Pemerintah Nomor 50 Tahun 2005 tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta Di wilayah Jawa Timur. Dalam pasal 8 ayat (1) tersebut mengatur tentang izin penyelenggaraan penyiaran bagi lembaga penyiaran swasta yang berjangka waktu 10 tahun. Peraturan ini dibuat untuk mengatur penyelenggaraan penyiaran lembaga penyiaran swasta dalam melakukan penyiarannya tidak melanggar tujuan dari pancasila dan UUDÂ  RI 1945 serta tidak merugikan masyarakat. Adapun jenis penelitian ini adalah jenis penelitian yuridis empiris dengan metode pendekatan yuridis sosiologis yag dilakukan dengan cara penelitian langsung untuk memperoleh data mengenai izin penyelenggaraan penyiaran lembaga penyiaran swasta dalam pasal 8 ayat (1) Peraturan Pemerintah Nomor 50 Tahun 2005 tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta. Dalam penelitian ini dapat diketahui bahawa efektifitas pasal 8 ayat (1) Peraturan Pemerintah Nomor 50 Tahun 2005 tentang Penyelenggaraan Penyiaran Lembaga Penyiaran Swasta tidak berjalan dengan efektif karena terhambat oleh beberapa faktor seperti kurangnya pengawasan yang dilakukan oleh KPID Jawa Timur dan KOMINFO terhadap lembaga penyiaran swasta yang masih tidak mempunyai izin penyelenggaraan penyiaran, Kurangnya dana anggaran yang diberikan oleh pemerintah untuk mengawasi keseluruhan wilayah Jawa Timur, kurangnya aduan yang diberikan oleh masyarakat apabila ada lembaga penyiaran swasta yang melakukan pelanggaran, belum adanya sanksi apabila lembaga penyiaran swasta melakukan penyiaran tanpa mengantongi izin penyelenggaraan penyiaran,. Kata Kunci : Efektifitas Hukum, Lembaga Penyiaran Swasta, Izin penyiaran TelevisiÂ  ABSTRACT This study aimed at investigating the effectiveness of article 8 paragraph (1) of Government Regulation number 50 year 2005 about the Administration of Private Broadcasting Agencies In East Java. The article 8 paragraph (1) regulates the permit of broadcasting administration for private broadcasters which has 10 years period. This regulation was set to regulate the administration of private broadcasting agencies in order not to violate the objective of Pancasila (the five principles), The Basic Constitution of the Republic of Indonesia 1945 and society in doing their broadcasting. This study was empired juridical with sociological juridical approach done by directly obtaining the data on the permit of broadcasting administration of private broadcasting agencies in article 8 paragraph (1) Government Regulation Number 50 Year 2005 about Broadcasting administration for private broadcasting agencies. The results of the study show that the effectiveness of article 8 paragraph (1) of Government Regulation Number 50 Year 2005 about the Broadcasting administration for Private Broadcasting agencies has not been effective yet due to some inhibiting factors such as lack of supervision from East Java KPID and KOMINFO on private broadcasting agencies that do not have permit on broadcasting administration, lack of funding from government for supervision in the entire East Java, lack of complaints from society for the violation commited by private broadcasting administration, the absence of sanction given for the private brocasting agencies that own broadcasting administration permit. Keyword : Effectiveness of law, Private Broadcasting Agencies, Television Broadcasting Permit",,,,
166365,ANALISIS KUALITAS PELAYANAN PERIZINAN TERHADAP KEPUASAN LEMBAGA PENYIARAN PADA KOMISI PENYIARAN INDONESIA DAERAH ACEH (Studi Pada Lembaga Penyiaran Wilayah Layanan Banda Aceh),Said Firdaus|Zuraidah -|Febyola Rafiq,266355|209250|354289,"Jurnal Ilmiah Manajemen Muhammadiyah Aceh Vol 2, No 2 (2012)",Universitas Muhammadiyah Aceh,"Sebelum menyelenggarakan kegiatannya lembaga penyiaran wajib memperoleh izin penyelenggaraan penyiaran. Izin dimaksud diberikan oleh Negara melalui Komisi Penyiaran Indonesia berdasarkan minat, kepentingan dan mampu menjaga kepentingan umum dengan memperoleh masukan dan hasil evaluasi dengar pendapat anatara pemohon dengan komisi penyiaran Indonesia, rekomendasi kelayakan penyelenggaraan penyiaran, hasil kesepakatan dalam forum rapat bersama yang diadakan khusus untuk perizinan serta izin alokasi dan penggunaan spektrum frekwensi.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Berbagai tahapan proses perizinan yang harus dilalui oleh sebuah lemabaga penyiaran tersebut tidak satu tahappun dikenakan biaya kecuali pada saat lembaga penyiaran tersebut sudah selesai dan diterbitkannya Izin Penyelenggaraan Penyiaran dengan membayar Biaya Hak Penggunaan Frekwensi dan Biaya Izin Penyelenggaraan Penyiaran yang besarannya sesuai dengan ketentuan perundangan yang berlaku.Â  Hal ini jelas memberikan kewenangan kepada Komisi Penyiaran Indonesia sebagai Lembaga yang bertanggungjawab dan diberikan kewenangan yang penuh dalam memberikan pelayanan kepada masyarakat yang melakukan permohonan pendirian lembaga penyiaran. Sebagai LembagaÂ  Negara yang mengemban amanah Undang-undang, dalam pelaksanaan kewenangannya, lembaga ini juga diberikan kebijakan-kebijakan sesuai dengan kepentingan masyarakat guna menjamin pelayan yang baik.Â  Â Â Â Â Â Â Â Â Â Â Â  Dalam upaya mencari tingkat kepuasan Lemabaga Penyiaran terhadapÂ  Pelayanan yang diberikan oleh Komisi Penyiaran guna memproses Izin Penyelenggaraan Penyiaran, penelitian ini dirancang dengan pendekatan kuantitatif melalui penyebaran daftar quisioner kepada objek penelitian yang terdiri dari berbagai jenis lembaga penyiaran yang ada diwilayah layanan siaran Kota Banada Aceh yang telah melakukan proses permohonan Izin Penyelenggaraan Penyiaran pada Kantor Komisi Penyiaran Indonesia Daerah Aceh.Â  Selanjutnya informasi yang didapat memlalui quisioner akan dilakukan cross-chek dengan berbagai peraturan yang berlakuÂ  agar didapatkan informasi yang valid untuk menyusun suatu sistemÂ  konsep dan hubungan serta jalinan teoritik prinsip-prinsip tingkat kepuasan yang berlaku secara umum.Â Â Kata Kunci: Kualitas Pelayanan, Perizinan, KepuasanÂ  Lembaga Penyiaran, Komisi Penyiaran Indonesia Daerah AcehÂ",,,,https://doi.org/10.37598/jimma.v2i2.344
802571,EFEKTIVITAS PELAKSANAAN PENYELENGARAAN PENYIARAN RADIO SWASTA BERDASARKAN PASAL 34 AYAT (4) UNDANG-UNDANG NOMOR 32 TAHUN2002 TENTANG PENYIARAN (Studi di Komisi Penyiaran Indonesia Daerah Jawa Timur),Dimas Aditya Nugraha,2722986,"Kumpulan Jurnal Mahasiswa Fakultas Hukum Sarjana Ilmu Hukum, September 2018",Kumpulan Jurnal Mahasiswa Fakultas Hukum,"Dimas Aditya Nugraha, Dr. Istislam SH.,MH, Lutfi Effendi SH.M.Hum Fakultas Hukum Universitas Brawijaya Email : Dimasozil11@gmail.com Â Abstrak Peran Komisi Penyiaran Indonesia Daerah Jawa Timur adalah untuk mengawasi atau meminimalisir pelanggaran terhadap stasiun radio swasta. Komisi Penyiaran Indonesia Daerah Jawa Timur bekerja sama dengan KOMINFO. Untuk masalah izn penyelenggaraan penyiaran jika suatu radio swasta telah lolos dari uji siar, maka izin penyelenggaraan dapat diberikan oleh Komisi Penyiaran Daerah Indonesia Jawa Timur dan KOMINFO. Melihat undang-undang penyiaran Pasal 34 ayat (4) Undang-Undang Nomor 32 tahun 2002 tentang penyiaran sendiri untuk di wilayah jawa timur telah terpenuhi atau efektif. Karena dari Pasal tersebut praktek pemindahan tangan izin penyelenggaraan penyiaran tidak ada. Akan tetapi masih ada beberapa faktor yang membuat pasal tersebut jadi kurang efektif dianataranya : faktor sarana dan prasana, faktor kebudayaan, faktor masyarat. Jika 3 faktor ini bias diatasi maka masalah yang muncul selama ini telah teratasi. Kata kunci : Izin, Komisi Penyiaran Indonesia Daerah Jawa Timur.Â ABSTRACT The role of Indonesian broadcasting commission in East Java is to supervise and minimize the potential of infringement against private radio broadcasting companies. The commission works in association with KOMINFO. When a radio broadcasting company is granted with a permit, the permit is to be submitted to Regional Broadcasting Commission of Indonesia in East Java and KOMINFO. In general, Article 34 Paragraph (4) of Act Number 32 of 2002 on Independent Broadcasting in the area of East Java is effective, as the permit conveyance practice does not exist. However, there are several factors that cause the Article to be less effective: infrastructure, culture, and society. There should not be any further problem when the three factors are appropriately responded. Keywords: permit, Indonesian Broadcasting Commission of East JavaÂ",,,,
1647728,Kepastian Hukum dalam Pelaksanaan Sistem Stasiun Jaringan oleh Lembaga Penyiaran Swasta Jasa Penyiaran Televisi Berdasarkan Undang-undang Nomor 32 Tahun 2002 tentang Penyiaran,Gunawan Kusmantoro,3769709,Jurnal Hukum Positum Vol. 4 No. 2 (2019): Jurnal Hukum Positum,Prodi Magister Ilmu Hukum Fakultas Hukum Universitas Singaperbangsa Karawang,"Berdasarkan Undang-undang Nomor 32 Tahun 2002 tentang Penyiaran,  penyelenggaran penyiaran nasioal dilakukan melalui pola jaringan yang adil dan terpadu yang dikembangkan dengan membentuk Sistem Stasiun Jaringan. Setiap Lembaga Penyiaran Swasta Jasa Penyiaran Televisi yang lahir sebelum dan sesudah berlakunya Undang-undang Nomor 32 Tahun 2002 tentang Penyiaran wajib melaksanakan Sistem Stasiun Jaringan. Penelitian ini merupakan penelitian hukum normatif atau penelitian hukum doktrinal dimana penelitian ini akan menguji ketentuan tentang Sistem Stasiun Jaringan yang berlakukan pada peristiwa hukum in concreto atau menguji penerapan ketentuan Sistem Stasiun Jaringan pada praktik atau pelaksanaannya. Metode pendekatan yang digunakan dalam penelitian ini adalah metode pendekatan normatif-empiris. Melalui pendekatan ini, penelitian dilakukan dengan dua tahap. Pertama, mengkaji ketentuan-ketentuan hukum yang mengatur tentang Sistem Stasiun Jaringan. Kedua, mengkaji penerapan ketentuan Sistem Stasiun Jaringan oleh Lembaga Penyiaran Swasta Jasa Penyiaran Televisi. Hasil penelitian menunjukkan bahwa pelaksanaan Sistem Stasiun Jaringan oleh Lembaga Penyiaran Swasta Jasa Penyiaran Televisi seusai dengan konsep Sistem Stasiun Jaringan. Namun dalam praktiknya, pelaksanaan Sistem Stasiun Jaringan di Indonesia menimbulkan ketidakpastian hukum karena pelaksanaannya sempat tertunda-tunda selama sekitar sepuluh tahun dan prinsip dasar yang ingin dicapai yakni keberagaman kepemilikan dan keberagaman isi ternyata tidak terwujud.",,,,https://doi.org/10.35706/positum.v4i2.3181
1975805,Perdebatan Kepentingan Kebijakan Digitalisasi Penyiaran di Indonesia (Studi Kasus Perumusan Kebijakan Digitalisasi Penyiaran pada RUU Penyiaran di DPR 2009-2014 dan 2014-2019) [Interest Disputes of Broadcasting Digitalization Policy in Indonesia],Ahmad Budiman,3697834,"Jurnal Politica Vol 11, No 1 (2020): Jurnal Politica Mei 2020",Sekretariat Jenderal DPR RI,"The formulation and discussion on broadcasting digitalization, as one of the aspects of the Revised Broadcasting Bill, has been well underway since the Parliamentary Period of 2009-2014, and continued in the following Period of 2014-2019. The long period of deliberation of the policy shows that it tries to accommodate many interests. The research question raised in this study is concerned with the contestation arising in the formulation of broadcasting digitalization policy in Indonesia. This study aims to describe the research question regarding the debate over differing interests that occurred in formulating broadcasting digitalization policy in Indonesia. The research method used in this study is a case study qualitative method. Based on the results of the study, in the 2009-2014 period, a debate of interests occurred between the House and the Government, with regard to the rightful provider of multiplex services, has impacts on different definitions of broadcasting. The House maintains that multiplex provider rights should be given to multiplex broadcast providers (LPPM), whereas the Government believes that the rights should be given to IPP-licensed broadcasters. Commission I of the House in the 2014-2019 period formulated the policy of broadcasting digitalization in detail, especially with regard to the matter of the Government’s obligation to formulate the frequency allocation map in every broadcast area, migration model, ASO in every broadcast area and at the national level, digital dividend, and multiplexing fees. The proposed migration model was the single mux model, but it was opposed by the Legislation Committee of the House (Baleg), which proposed the hybrid mux migration model. Baleg believed that the single mux model would potentially create monopolistic practices. Furthermore, the state-owned TVRI has not been equipped with up-to-date broadcasting infrastructure and high-skilled human resources. Certainty in the frequency allocation map calculation in every broadcasting area, prospective digital dividend, and the prospect of broadcast companies must be the main foundation in determining the most appropriate digital migration model in Indonesia. It is certainly not impossible if Indonesia may even have its own unique migration model. Together, the House and the Government have to discuss and finish the Bill on Broadcasting as soon as possible for broadcasting digitalization to take place, for the benefit of the people and the nation of Indonesia.AbstrakPerumusan dan pembahasan kebijakan digitalisasi penyiaran yang menjadi salah satu materi dari perumusan penggantian UU Penyiaran, sudah dilakukan sejak DPR periode 2009-2014 dan dimulai kembali pada DPR periode 2014-2019. Lamanya perumusan dan pembahasan kebijakan digitalisasi penyiaran, menunjukkan materi ini memang sangat sarat kepentingan. Pertanyaan penelitian yang diajukan dalam penelitian ini yaitu bagaimana kontestasi perdebatan kepentingan yang terjadi dalam merumuskan kebijakan tentang digitalisasi penyiaran di Indonesia? Penelitian ini bertujuan mendeskripsikan pertanyaan penelitian mengenai kontestasi perdebatan kepentingan yang terjadi dalam merumuskan kebijakan tentang digitalisasi penyiaran di Indonesia. Metode penelitian yang digunakan dalam penelitian ini yaitu metode kualitatif studi kasus mengenai perdebatan kepentingan perumusan kebijakan digitalisasi penyiaran yang terjadi pada DPR periode 2009-2014 dan DPR periode 2014-2019. Berdasarkan hasil penelitian, pada DPR periode 2009-2014, perdebatan kepentingan terjadi antara DPR dengan Pemerintah, terkait dengan siapa yang berhak menjadi penyelenggara multipeksing yang berdampak juga pada definisi penyiaran yang berbeda. DPR tetap menyatakan penyelenggara multipleksing diserahkan kepada lembaga penyelenggara penyiaran multipleksing (LPPM). Sedangkan Pemerintah menyerahkan penyelenggara kepada lembaga penyiaran yang telah memiliki IPP. DPR periode 2014-2019 melalui Komisi I DPR, merumuskan secara rinci kebijakan digitalisasi penyiaran terkait kewajiban Pemerintah untuk menyusun peta alokasi frekuensi di setiap wilayah siar, model migrasi, ASO disetiap wilayah siar dan secara nasional, digital deviden, dan tarif penyelanggaraan multipleksing. Model migrasi yang diajukan yaitu model single mux, namun mendapatkan pertentangan dari Baleg DPR yang mengajukan model migrasi hybrid mux. Baleg menilai single mux berpotensi memunculkan praktek monopoli, insfrastruktur penyiaran TVRI sudah berusia tua, dan kurangnya kemampuan kompetensi SDM yang dimiliki TVRI. Kepastian hitungan peta alokasi frekuensi di setiap wilayah siar, digital deviden yang diperoleh, dan prospek lembaga penyiaran, harus menjadi dasar utama dalam menentukan model migrasi digital di Indonesia. Bisa jadi kita memiliki model migrasi yang khas Indonesia. DPR bersama Pemerintah, harus segera membahas RUU Penyiaran agar kepentingan masyarakat, bangsa, dan negara Indonesia terkait digitalisasi penyiaran benar-benar dapat terwujud.",,,,https://doi.org/10.22212/jp.v11i1.1613
2200729,PELAKSANAN PENERAPAN HUKUM TERHADAP PELANGGARAN MEDIA MASSA LEMBAGA PENYIARAN DI INDONESIA OLEH KOMISI PENYIARAN INDONESIA MENURUT UNDANG-UNDANG NOMOR 32 TAHUN 2002 TENTANG PENYIARAN,"Kristopo|Bachtiar, Alfan|Supriyanto, Bambang Heri",1957234|1953652|566860,E-Journal Widya Yustisia Vol. 2 No. 1 (2020),E-Journal Widya Yustisia,"This article discusses the implementation of the law on violations of mass media of broadcasting commision according to law number 32 of 2002 concerning broadcasting, while the auther chose this title because until now the performance broadcasting institutions still broadcasts that are contrary to the broadcasting law such as violence, pornography, sara, which still color some broadcast-broadcasts in indonesian. The subject matter this article discusses how the role of the indonesian broadcasting commision in the mass media of broadcastinginstitutions in indonesian is continued by the factors that become obstacles in imposing punituve sanctions on mass media of broadcasting institutions then how is the process of imposing sanctions on broadcasting violations in indonesiaan. The conclusion from the discussion is that the indonesian supervisory comission plays a role in implementing the law as well as providing protection related to good broadcasting for the public. Prohibition in carrying out broadcast broadcasting activities, namely carrying out broadcasts that demean and ofend religious teachings, ideologies, individuals, group and are contrary to public morality and religious values. The methodology used in this research is normative research which uss descriptive research with a normative juridicial approach based on the prevailing laws and regulations.Broadcasting is asloprohibited from promoting liquor or other addictive substances including cigarettes. The process of resolving violations in broadcastbroadcasting must be resolved through the indonesian broadcasting commission by imposing sanctions on violations of broadcasting rules and codes of conduct and broadcasting program standars.",,,,
3047849,Kewenangan Komisi Penyiaran Indonesia Daerah (KPID) Sulawesi Tengah Terhadap Kode Etik Penyiaran Pada Lembaga Penyiaran Radio,Widyatmi Anandy|Irzha Friskanov. S,5430060|3586544,"Riau Law Journal Vol 6, No 1 (2022): Riau Law Journal","Faculty of Law, Universitas Riau","The Indonesian Broadcasting Commission (KPI) is an independent institution in Indonesia whose position is at the same level as other state institutions that function as a regulator of broadcasting in Indonesia. The KPI consists of the Central Indonesian Broadcasting Commission (KPI) and the Regional Indonesian Broadcasting Commission (KPID) that work at the provincial level. The authority and scope of duties of the Broadcasting Commission covers broadcasting arrangements organized by Public Broadcasting Institutions, Private Broadcasting Institutions, Subscriber Broadcasting Institutions and Community Broadcasting Institutions. Radio is a media facility that still exists in Palu City. Radio media is a place for audio connoisseurs to accompany work and even travel. It is undeniable that radio is a powerful means of providing information. With a distinctive way of presentation, radio is still the main attraction. Radio listeners are served small talk and accompanied by songs. In this regard, radio broadcasters do not escape the status of a profession that is bound by a code of ethics. The Regional Indonesian Broadcasting Commission (KPID) of Central Sulawesi is an independent state institution that is responsible for controlling broadcasting behavior in each broadcasting institution, including radio. This problem is the background for the author to discuss it in research, first, how is the authority of the Central Sulawesi KPID towards the broadcasting code of ethics in radio broadcasting institutions. Second, how is the standard of behavior of radio broadcasting institutions in Palu. Duties and responsibilities, the authorities possessed by the Regional Indonesian Broadcasting Commission (KPID) of Central Sulawesi have indirect responsibilities with the State.",,,,https://doi.org/10.30652/rlj.v6i1.7933
1975824,PENATAAN LEMBAGA PENYIARAN KOMUNITAS DALAM AKVITAS PENYIARAN DI INDONESIA,Ahmad Budiman,3697902,"Jurnal Politica Vol 5, No 1 (2014): Jurnal Politica",Sekretariat Jenderal DPR RI,"Community Broadcasting Agency (LPK) is one of several agencies of broadcasting existing in Indonesia today. Its activity is not commercial in nature, and it is created by certain groups of community. Its loyal users and limited frequency capacity cause its program focus only on issues of information, education and culture of its community. Some operational problem facing by the LPK are difficulty in obtaining broadcasting license, as well as limited budget provided by the state to support its activity, and also the quality of program. The new approach is intended to maximize the functions of this community broadcasting for public. Away from this, the new approach is perceived necessary for the reasons of improving its legal basis, source of budget, the availability of channels, its covering capacity, and program quality.",,,,https://doi.org/10.22212/jp.v5i1.335
1440024,PERLINDUNGAN HUKUM BAGI PENGGUNA JASA PENYIARAN BERLANGGANAN (TV BERLANGGANAN) DENGAN PERUBAHAN HARGA PAKET BERLANGGANAN SECARA SEPIHAK OLEH LEMBAGA PENYIARAN BERLANGGANAN,"Ayu Permata Sari*, Suradi, Aminah",2546480,"Diponegoro Law Journal Vol 6, No 2 (2017): Volume 6 Nomor 2, Tahun 2017","Program Studi S1 Ilmu Hukum, Fakultas Hukum, Universitas Diponegoro","Perkembangan teknologi mendorong masyarakat untuk mendapat informasi secara cepat. Hal tersebutpun membuat pertelevisian di Indonesia berkembang pesat sehingga muncul televisi berbayar yang sangat diminati oleh konsumen, untuk berlangganan televisi berbayar konsumen harus menyetujui perjanjian baku yang telah dibuat oleh lembaga penyiaran berlangganan selaku pelaku usaha. Perjanjian tersebut merupakan perjanjian timbal balik yang pada dasarnya menimbulkan hak dan kewajiban bagi kedua belah pihak. Perjanjian baku yang dibuat oleh pelaku usaha terkadang mengenyampingkan kepentingan konsumen hal tersebut dapat dilihat dari pencantuman klausula baku yang dilarang oleh Undang-Undang Perlindungan Konsumen yang terdapat pada perjanjian tersebut. Konsumen yang dirugikan akibat perbuatan pelaku usaha yang bertentangan dengan perjanjian dapat melakukan upaya perlindungan konsumen baik melalui jalurr hukum ataupun non-hukum.",,,http://download.garuda.kemdikbud.go.id/article.php?article=1440024&val=4724&title=PERLINDUNGAN HUKUM BAGI PENGGUNA JASA PENYIARAN BERLANGGANAN TV BERLANGGANAN DENGAN PERUBAHAN HARGA PAKET BERLANGGANAN SECARA SEPIHAK OLEH LEMBAGA PENYIARAN BERLANGGANAN,
1391789,Kinerja Lembaga Penyiaran Publik Radio Republik Indonesia (Studi Tentang Kinerja Pegawai di Lembaga Penyiaran Publik RRI Manado),"Makawimbang, Halmintje|Rumapea, Patar|Ruru, Joorie",490526|365539|365868,"JURNAL ADMINISTRASI PUBLIK Vol 2, No 30 (2015)",Sam Ratulangi University,"Abstract : This research aims to analyze the performance of a Public Broadcasting Institution theradio Indonesia Republic in Manado. Public Broadcasting Institution the radio Indonesia Republic inManado as a government bureaucracy is the one work unit in North Sulawesi. Public BroadcastingInstitution the radio Indonesia Republic in Manado is institutions that convey information as well as news â€“actual and reliable news as well as provide entertainment to the community particularly the city of Manado.To carry out its work, Public Broadcasting has a function a. Deliver/broadcast news and Information toactual and reliable, providing wholesome Entertainment to the community. The central problem in the studybased on the pre survey, for example, the protection of the rights of women workers, safety (safety securitywork) and also a guarantee against social workers. Qualifying employees in particular HR limitations ofEchelon IV also become constraints in the implementation of tasks and jobs. In addition still lack of trainingtrainingis to support the technical skill employees create a work to be hampered due to the lack of technicalknowledge of employees in carrying out his job. Therefore, in a situation like this, the head of Department orhead of the need to conduct performance assessment to review the extent to which employee performance andevaluate the effectiveness of the deficiencies contained therein so that action can be taken as soon as possibleto resolve the issue.In this study the author uses a quantitative approach. quantitative data processing-data that isobtained from the location of the research with data collection techniques: study library and study field, asfor Informants in this study was the assessment of officials is tops on Public Broadcasters, among them headof the radio Indonesia Republic in Manado Station, the head of the field and the head section.The results of this research are generally speaking the performance of employees in the PublicBroadcasting Institution the radio Indonesia Republic in Manado can be said to have good, based on thefinal value of each employee's performance with Employees Working Objectives values accumulate (SKP)and overall work so that Behavior can be inferred to be on the level of ""good"". But there are some drawbackson a number of aspects that need to be addressed. There are also some drawbacks in the system assessmentsbased Government Regulations No 46-year 2011 as in some aspects of the assessment that does not have aclear criteria in measuring these aspects in the assessment being thus causing less accurate, as well as theassessment is very subjective because it is only rated by his superiors only and does not involve otherelements associated with it. Further, the ratings only measure the performance on an individual basis andnot on the team's performance while at the moment the work more charged on teamwork, not merely on theindividual.Referring to the discussion and the conclusions above, the suggested performance in order toimprove Employee Public Broadcasting Institution the radio Indonesia Republic in Manado then needs to bein the presence of Required training To suggest as well as employee development programs so that theperformance achieved by the Public Broadcasting Institution the radio Indonesia Republic in Manado can beincreased again in all its aspects. There should be a review of employee performance appraisal system basedGovernment Regulations No 46-year 2011 About assessment performance achievements of employeesbecause there were still some shortcomings in it. then to measure employee performance, We recommendthat you use team-based performance measurement because at the moment most of the work that is given toemployees is work done in teams, so hopefully the performance will be better achieved.Keywords: Performance, Public Broadcasting Institution Radio Indonesia Republic",,,,
